팀,선수명,포지션,등번호,출전시간(분),득점,도움,슈팅,유효 슈팅,차단된슈팅,벗어난슈팅,PA내 슈팅,PA외 슈팅,오프사이드,프리킥,코너킥,스로인,드리블성공률,패스성공률,키패스,전방패스성공률,후방패스성공률,횡패스성공률,공격지역패스성공률,수비지역패스성공률,중앙지역패스성공률,롱패스성공률,중거리패스성공률,숏패스성공률,크로스성공률,탈압박,경합지상성공률,경합공중성공률,대클성공률,클리어링,인터셉트,차단,획득,블락,볼미스,파울,피파울,경고,퇴장
전북,쿠니모토,MF,17,1455,2,0,34,9,10,15,14,20,1,3,4,9,63.6,80.7,13,0,97,84.6,69.9,79.1,87.1,70.8,81.2,82.4,18.2,2,42.5,15.1,38.1,3,19,46,120,1,19,28,21,2,0
전북,한교원,MF,7,1642,8,3,35,13,11,11,31,4,3,1,0,0,24,76.6,24,0,92.5,68.1,72.7,69.6,84.7,29.4,69.4,80.2,27.1,1,34.2,34.2,33.3,3,10,43,89,0,20,25,26,1,0
전북,구스타보,FW,9,983,4,1,46,10,9,27,41,5,9,2,0,1,25,67.4,4,0,90,67.7,60,80,72.9,25,66.7,70.1,33.3,1,40.9,240.9,50,10,3,12,39,1,9,9,6,2,0
전북,라스,FW,9,71,0,0,4,0,0,4,4,0,0,0,0,0,0,77.8,0,0,83.3,71.4,55.6,0,100,0,80,83.3,50,0,0,600,0,1,0,1,4,0,2,2,0,0,0
전북,이동국,FW,20,332,3,0,16,6,2,8,9,7,2,1,0,1,0,73.8,2,0,80.6,74.4,64.8,100,82.7,100,87.5,70.7,33.3,0,12.5,100,0,0,2,1,8,0,4,4,6,1,0
전북,조규성,FW,11,631,1,1,11,3,4,4,7,4,1,0,0,1,0,75.2,8,0,90.2,70.8,71.7,75,80.7,0,78.3,78.2,0,0,25,96.9,0,2,6,10,20,0,6,18,17,2,0
전북,구스타보,대기,9,144,1,1,9,3,1,5,9,0,1,0,0,0,0,75,1,0,100,70,56.2,0,93.8,0,0,82.8,0,0,0,700,50,1,0,3,6,0,2,3,1,2,0
전북,구자룡,대기,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,100,100,0,100,0,100,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
전북,김민혁,대기,92,127,0,0,1,1,0,0,1,0,1,0,0,1,0,90.5,1,0,100,92.6,75,88.9,94.6,71.4,92.6,93.1,50,0,100,166.7,50,7,2,13,12,0,1,0,1,0,0
전북,김보경,대기,13,153,1,0,7,3,3,1,5,2,0,2,7,2,0,82,3,0,93.3,78,68.8,77.8,89.8,33.3,86.1,90.4,0,2,16.7,0,0,1,2,3,10,0,2,2,3,0,0
전북,김정훈,대기,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
전북,라스,대기,9,174,1,0,10,3,4,3,9,1,0,0,0,1,0,60.5,1,0,90.9,57.1,71,100,27.3,33.3,90,53.3,50,0,20,240,0,1,0,2,8,0,3,3,4,0,0
전북,무릴로,대기,10,332,0,0,21,6,8,7,9,12,0,4,2,0,20,86.8,3,0,95.5,81.5,80.3,100,93.5,41.7,81.8,92.7,8.3,0,42.9,71.4,0,2,4,4,18,0,8,5,3,1,0
전북,바로우,대기,37,256,1,1,2,1,0,1,1,1,0,1,0,1,46.2,69,5,0,96.3,70.5,61.5,50,87.1,37.5,63,75.4,27.8,0,35.7,14.3,40,0,4,4,14,0,1,5,8,0,0
전북,신형민,대기,44,74,0,0,0,0,0,0,0,0,0,4,0,1,0,86,0,0,100,91.3,66.7,100,86.7,60,88.2,90.5,0,0,66.7,100,0,1,1,3,15,1,0,0,0,0,0
전북,이동국,대기,20,163,1,0,6,2,0,4,5,1,0,1,0,0,0,70.6,3,0,82.4,77.1,65.1,100,79.2,50,53.3,76.5,33.3,0,60,100,0,1,1,2,9,0,2,0,1,0,0
전북,이범영,대기,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
전북,이성윤,대기,29,34,0,0,1,0,1,0,0,1,0,0,0,0,0,44.4,0,0,100,28.6,28.6,100,100,0,0,100,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
전북,이수빈,대기,57,16,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,100,100,100,100,0,100,100,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
전북,이승기,대기,14,172,2,1,6,3,0,3,4,2,0,0,0,1,0,84.3,5,0,100,85.7,76.1,100,89.1,75,79.2,86.5,20,0,60,80,100,0,3,8,26,0,1,3,5,0,0
전북,이시헌,대기,77,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
전북,이용,대기,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
전북,이주용,대기,32,34,0,1,1,0,1,0,1,0,0,0,0,0,100,87,2,0,100,83.3,88.9,100,75,100,85.7,85.7,66.7,0,0,100,100,0,0,1,4,0,0,0,0,0,0
전북,정혁,대기,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
전북,조규성,대기,11,80,0,0,0,0,0,0,0,0,1,0,0,1,0,65,0,0,100,50,66.7,100,57.1,50,75,64.3,0,0,50,200,0,0,1,0,3,0,2,2,3,1,0
